"SourceTextTitle","SourceTextCode","LocationKey","LocationTitle","Type","Authority","OtherTexts","Cemetery X","Cemetery Y","Description","activityPercent","activityURL","excerpt","hgt","lab_old","mark","pageOccurences","wid","Display Label","Status","Other Structure","Role","SortName","True X","True Y","Region","AuthOtherTexts"
"""Two Soldiers""","TWS","325","Memphis: Frisco Station|Central Station","OutOfYoknapatawpha","Text (when unambiguous)","Sanctuary, The Reivers","695","255","<p>While the Grier boy is at the Army Recruiting Station in Memphis, the soldiers send for his brother, Pete, who is at the train station awaiting transport to Little Rock (95).</p>","","","","","","","","","Train Station","Continuous","Railroad Station","Only Mentioned in Text","","2324","271","",""
"""Two Soldiers""","TWS","499","Memphis: McKellogg Residence","OutOfYoknapatawpha","Text (when unambiguous)","","896","325","<p>Before sending him back to Yoknapatawpha, Mrs. McKellogg takes the Grier boy to her place in Memphis for a meal.  She lives with her husband (an Army colonel) in a large apartment building with an elevator and a human operator, but the boy is unfamiliar with that kind of place.   ""I looked at it,"" he says about the building, ""and if all that was her house, she sho had a big family.  But all of it wasn't.""  To him the elevator is ""a little room without nothing in it but a nigger dressed up in a uniform,"" and he is astonished when ""the whole little room jest went right on up"" to her floor (98-99).</p>","","","","","","","","","McKellogg Residence","Continuous","Apartment","Site of Event","","2324","271","",""
"""Two Soldiers""","TWS","498","Memphis: Army Recruiting Station","OutOfYoknapatawpha","Context (text, as interpreted)","""The Tall Men"", The Mansion","740","230","<p>Grier boy goes to an Army Recruiting Station in Memphis in pursuit of his brother.</p>","","","","","","","","","Army Recruiting Station","Continuous","Military Base","Site of Event","","2324","271","",""
"""Two Soldiers""","TWS","497","Memphis: Bus Depot","OutOfYoknapatawpha","Text (when unambiguous)","""Uncle Willy"", The Mansion","810","305","<p>As the narrator puts it, the ""bus dee-po"" in Memphis is ""a heap bigger than the one in Jefferson"" (93).</p>","","","","","","","","","Memphis Bus Depot","Continuous","Bus Station","Site of Event","","2324","271","",""
"""Two Soldiers""","TWS","496","Northwest Road|Jefferson to Memphis","OutOfYoknapatawpha","Context (text, as interpreted)","""Retreat"", ""The Old People"", Absalom, Absalom!, Go Down, Moses, Light in August, The Unvanquished","2 335","275","<p>On the road to Memphis the narrator notes""all the towns"" he sees along the way, and the places that punctuate the landscape like ""a patch of stores,"" ""water tanks and smokestacks,"" ""gins and sawmills"" (92).  The boy leaves Memphis later in the day by the same route: ""first thing I knowed, we was back on the same highway the bus run on this morning"" (99).</p>","","","","","","","","","Road to Memphis","Continuous","Country Road","Site of Event","","","","",""
"""Two Soldiers""","TWS","200","Texas","OutOfYoknapatawpha","Text (when unambiguous)","""Centaur in Brass"", ""Knight's Gambit"", ""Spotted Horses"", ""Uncle Willy"", ""Vendee"", Absalom, Absalom!, As I Lay Dying, Light in August, Requiem for a Nun, The Hamlet, The Mansion, The Town, The Unvanquished","2 288","1 025","<p>Pap Grier mentions in ""Two Soldiers"" that he had been ""drafted and sent clean to Texas"" during the first World War (85). While the Grier boy is at the bus station in Jefferson, trying to get to Memphis, Mr. Foote remarks that the boy ""might have been in Missouri or Texas either yestiddy, for all we know"" (91).</p>","","","","","","","","","Texas","Continuous","Military Base","Site of Event","","","","",""
"""Two Soldiers""","TWS","055","Europe in World War I","OutOfYoknapatawpha","Text (when unambiguous)","""Ad Astra"", ""All the Dead Pilots"", ""Death Drag"", ""The Tall Men"", ""There Was a Queen"", As I Lay Dying, Flags in the Dust, Requiem for a Nun, The Mansion, The Town","2 482","1 288","<p>The First World War is mentioned when Pap Grier, as part of his argument against Pete’s plan to enlist, notes that ""I was drafted . . . [and] your Uncle Marsh . . . received a actual wound on the battlefields of France, [which] is enough for me and mine to have to do to protect the country"" (85).</p>","","","","","","","","","France","Continuous","Combat Zone","Site of Event","","","","",""
"""Two Soldiers""","TWS","215","Washington D.C.","OutOfYoknapatawpha","Text (when unambiguous)","""A Name for the City"", ""Appendix: Compson"", ""By the People"", ""Knight's Gambit"", ""Retreat"", ""Skirmish at Sartoris"", ""There Was a Queen"", Light in August, Requiem for a Nun, The Sound and the Fury, The Town, The Unvanquished","2 507","890","<p>When Pete Grier tells his parents that he is enlisting in ""Two Soldiers,"" his father responds with ""Our President in Washington, D.C. is watching the conditions and he will notify us [if you need to go to war]"" (85).</p>","","","","","","","","","Washington D.C.","Continuous","City","Only Mentioned in Text","","","","",""
"""Two Soldiers""","TWS","319","The Philippines","OutOfYoknapatawpha","Text (when unambiguous)","""Shall Not Perish"", Sanctuary","2 129","1 350","<p>In 1941 the Philippine Islands were an American protectorate, with Commonwealth status.  The Japanese invaded them a day after their attack on Pearl Harbor – or as the narrator puts it, based on the reports he and Pete hear on the radio, ""they was at it in the Philippines now"" (82).</p>","","","","","","","","","The Philippines","Continuous","Combat Zone","Only Mentioned in Text","","","","",""
"""Two Soldiers""","TWS","113","Hawaii|Pearl Harbor","OutOfYoknapatawpha","Text (when unambiguous)","""Shall Not Perish"", Flags in the Dust, Requiem for a Nun","2 222","1 323","<p>Pearl Harbor is the site of the American naval base on the Hawaiian Islands.  The United States entered World War II when Japan attacked it on 7 December 1941.</p>","","","","","","","","","Pearl Harbor","Continuous","Military Base; Combat Zone","Only Mentioned in Text","","","","",""
"""Two Soldiers""","TWS","493","Government Reservoir at Oxford","OutOfYoknapatawpha","Text (when unambiguous)","","2 350","300","<p>When his older brother Pete tells the narrator that Pearl Harbor is ""across the water,"" the boy uses ""that Government reservoy up at Oxford"" as his reference point for a body of water (81).  Sardis Lake, as it is called, was built as a reservoir and flood control project during the Depression, one of the Roosevelt Administration’s public works.  Opened in 1940, it flooded 14 miles of the Little Tallahatchie, the river that Faulkner used to mark the northern boundary of Yoknapatawpha.</p>","","","","","","","","","Government Reservoir at Oxford","Continuous","River","Only Mentioned in Text","","","","",""
"""Two Soldiers""","TWS","039","Jefferson Railroad Station","Office/store","Context (text, as interpreted)","","1 156","800","<p>The bus station – or as he calls it, the ""dee-po"" - where the narrator is put on a bus to Memphis is ""down another street"" from Courthouse Square; it's ""a regular bus dee-po like a railroad dee-po,"" containing ""a ticket counter and a feller behind it"" (89).  Historically, the Oxford train station was converted into a bus depot in 1937, when passenger rail service was discontinued.  While Faulkner never felt bound by historical or geographical fact as he re-created Yoknapatawpha in the fictions, the location that the narrator himself provides - ""down"" a street from the Courthouse - and even the word 'depot' make it likely as not that Faulkner's bus station is also what used to be the railroad dee-po.</p>","","","","","","","","","Jefferson Bus Depot","Continuous","Bus Station","Site of Event","","","","",""
"""Two Soldiers""","TWS","054","Jefferson Courthouse and Square","Courthouse","Text (when unambiguous)","""A Point of Law"", ""A Rose for Emily"", ""Appendix: Compson"", ""Centaur in Brass"", ""Death Drag"", ""Dry September"", ""Elly"", ""Fool About a Horse"", ""Go Down, Moses"", ""Gold Is Not Always"", ""Hair"", ""Lion"", ""Monk"", ""Mule in the Yard"", ""My Grandmother Millard and General Bedford Forrest and the Battle of Harrykin Creek"", ""Pantaloon in Black"", ""Race at Morning"", ""Raid"", ""Retreat"", ""Shall Not Perish"", ""Shingles for the Lord"", ""Skirmish at Sartoris"", ""Smoke"", ""Spotted Horses"", ""That Evening Sun"", ""The Old People"", ""The Tall Men"", ""The Unvanquished"", ""There Was a Queen"", ""Tomorrow"", ""Uncle Willy"", ""Vendee"", Absalom, Absalom!, As I Lay Dying, Flags in the Dust, Go Down, Moses, Intruder in the Dust, Light in August, Requiem for a Nun, Sanctuary, The Hamlet, The Mansion, The Reivers , The Sound and the Fury, The Town, The Unvanquished","1 290","819","<p>Courthouse Square is the physical and social center of Yoknapatawpha County.  On weekends it can be crowded with the wagons of country people in town for the day, but when the narrator reaches it, with “daylight coming . . . and the street lights still burning,” it is “empty” of everyone but him and the policeman whom he calls ""the Law,"" presumably the man called the night marshal in other texts (89).</p>","","","","","","","","","Courthouse Square","Continuous","Courthouse and Square","Site of Event","","","","",""
"""Two Soldiers""","TWS","491","Cabins on Outskirts of Jefferson","Cabin","Text (when unambiguous)","As I Lay Dying","1 273","940","<p>As he enters Jefferson, the narrator says he can ""smell breakfast cooking in the cabins"" (88).   In Faulkner’s Yoknapatawpha fictions, ""cabins"" are almost invariably occupied by blacks, so it's likely that that is who lives at this southern edge of town.</p>","","","","","","","","","Cabins","Continuous","Negro-occupied Cabin","Site of Event","","","","",""
"""Two Soldiers""","TWS","490","Frenchman's Bend Schoolhouse","Public building","Other Text(s)","""Knight's Gambit"", ""Shall Not Perish"", As I Lay Dying, The Hamlet, The Town","1 705","1 455","<p>Pete Grier has ""graduated from the Consolidated"" (82), which refers to a rural school that combines a number of grades into one building.  The text doesn't say where it is, but in other Yoknapatawpha fictions there is a school building in Frenchman's Bend; in ""Shall Not Perish"" it is located further from Jefferson than the Grier place.</p>","","","","","","","","","Consolidated School","Continuous","School","Only Mentioned in Text","","","","","""Shall Not Perish"", The Hamlet"
"""Two Soldiers""","TWS","489","Road Between Jefferson and Frenchman's Bend","Event","Faulkner map","""Fool About a Horse"", ""Hand Upon the Waters"", ""Shall Not Perish"", ""Spotted Horses"", ""The Hound"", Light in August, The Hamlet, The Mansion, The Town","1 483","1 095","<p>Road from Frenchman's Bend to Jefferson that the narrator walks along at night on his way to Memphis to find his brother Pete. The narrator refers to the road as a ""highway,"" and it may have been at least partly paved by 1941, though probably not.  The narrator notes that the distance from his house to Jefferson was twenty-two miles.</p>","","","","","","","","","Road to Jefferson","Continuous","Country Road","Site of Event","","","","",""
"""Two Soldiers""","TWS","124","Killegrews' Farm","Farm","Context (text, as interpreted)","""Shall Not Perish"", ""Shingles for the Lord""","1 505","1 340","<p>Mr. and Mrs. Killegrew have a place near the Grier farm.  And unlike the Griers, they can afford to own a radio, which has to be played loudly because of Mrs. Killegrew's deafness.  In the evenings, the narrator and his brother, Pete, stand outside the parlor window and listen to radio coverage of World War II.</p>","","","","","","","","","Killegrew's Place","Continuous","Farm House","Site of Event","","","","",""
"""Two Soldiers""","TWS","123","Griers' Farm","Farm","Context (text, as interpreted)","""Shall Not Perish"", ""Shingles for the Lord""","1 665","1 398","<p>The narrator refers to the place where he lives with his Maw and Pap and older brother Pete as ""this little shirttail of a farm"" (84).  According to the story ""Shall Not Perish,"" published a year after ""Two Soldiers,"" the Grier family has owned its seventy acres for at least several generations.   Pap gave Pete ten of those acres as a high school graduation present, and by early December Pete has his plot properly ""busted out and bedded for the winter"" with vetch (82).  But Pap himself is a particularly shiftless farmer, or as the narrative puts it: ""pap was still behind, just like he had been since me and Pete had knowed him"" (82).  In another seasonal task, the males chop firewood ""at the wood tree"" on the place (83).</p>","","","","","","","","","Grier Home and Barn","Continuous","Farm; Field","Site of Event","","","","",""
"Sanctuary","SY","193","Road to Dumfries and Memphis","Event","Speculation","","1 755","1 208","<p>The road Popeye uses to take Temple to Memphis, by way of Dumfries, doesn't  go through Jefferson, so we have placed it northeast of Frenchman's Bend.</p>","","","","","","","","","Road to Dumfries","Continuous","Country Road","Site of Event","","","","",""
"""Barn Burning""","BB","488","De Spain Sharecropper Field","Event","Speculation","","1 055","225","<p>While cotton is the major crop in Yoknapatawpha, Ab Snopes is supposed to grow corn on De Spain's land; both De Spain and the Justice of the Peace measure his penalty for ruining Mrs. de Spain's rug in ""bushels of corn"" (16, 18).  The corn field is next to the tenant's cabin, and contains the ""rich black soil"" typical of the bottom land in Yoknapatawpha (17).  The story briefly shows Ab's two sons at work in the field, ""running a middle buster"" (17).  (A middle buster is a particular kind of plow, designed to create furrows for planting.)</p>","","","","","","","","","Field","Continuous","Field","Site of Event","","","","",""
"""Spotted Horses""","SH","487","Mrs. Littlejohn's Lot","Other Structure","Text (when unambiguous)","The Hamlet, The Town","1 588","1 445","<p>Beside Mrs. Littlejohn's boarding house is a fenced-in lot with a barn on one side.  Her boarders put their horses or mules there, and the Texan tries to keep the ponies there as well.</p>","","","","","","","","","Lot and Barn","Continuous","Livestock Lot; Barn","Site of Event","","","","",""
"Light in August","LA","486","Joe Christmas' Fifteen-Year Street","OutOfYoknapatawpha","Speculation","","2 292","1 300","<p>At the end of his affair with Bobbie Allen, Joe Christmas leaves his home and ""entered the street which was to run for fifteen years"" (223).  In the course of his travels, ""the thousand streets ran as one street"" (223), which we have chosen to situate in the center of the United States as a kind of representative rather than exact Location for what happens to Joe during those years of his life.  The street is metaphorical, the narrative's way of summing up all of the traveling Joe does between the time he strikes McEachern and the time he arrives in Yoknapatawpha, and it must be measured in years as well as thousands of miles.  It takes Joe across much of the United States and into Mexico as well; the places the novel mentions by name are on our map.  Constant on the street are jails, brothels, working class neighborhoods, fields, farms:  ""he was in turn laborer, miner,prospector, gambling tout; he enlisted in the army, served four months and deserted and was never caught"" (224).</p>","","","","","","","","","Joe Christmas' Street","Continuous","City; Town; Brothel; State; Jail; Lower-class Residence; Negro District; Fields; Military Base","Site of Event","","","","",""
"Light in August","LA","1292","Spot where Lucas Burch Leaves Yoknapatawpha","Event","Context (text, as interpreted)","""Mule in the Yard"", Flags in the Dust, Requiem for a Nun, The Mansion, The Town, The Unvanquished","1 236","585","<p>Looking to hop on a train to escape from Lena and his newborn child, Lucas Burch heads for a particular spot: ""the crest of a grade where the northbound freights slow to a terrific and crawling gait"" (433).  It is at this location that Bryon tries in vain to stop Burch from fleeing his responsibility.</p>","","","","","","","","","Railroad Gradient","Continuous","Railroad; Hill|Ridge","Site of Event","","","","",""
"Light in August","LA","824","Jefferson Side-Street Restaurant","Office/store","Context (text, as interpreted)","""Centaur in Brass"", ""Lizards in Jamshyd’s Courtyard"", Flags in the Dust, The Hamlet, The Mansion, The Town","1 195","840","<p>In the various novels and stories. here are at least two different restaurants in Jefferson  for the white people. This one has a long ""frictionsmooth wooden counter"" where Joe eats seated ""on a backless stool,"" but all the text tells us about its location is that it is ""on a side street"" (113).  Those two details, however - the long counter and the side-street location - suggest it may be the small restaurant that Flem Snopes acquires from V.K. Ratliff and uses to launch his climb up the town's social and economic ladders.</p>","","","","","","","","","Restaurant","Continuous","Restaurant","Site of Event","","","","",""
"Light in August","LA","482","Jefferson White Neighborhood","House","Speculation","""Knight's Gambit""","1 265","740","<p>What the narrative calls ""the homes of white people"" (114) and ""the houses of white people"" (115) can be found in many different parts of Jefferson, but Joe Christmas' nighttime walk takes him through one specific section, between the Square and Freedman Town, identified this way.  He notes the ""chairs upon the lawn"" and ""verandas"" where ""white faces"" can be seen (115).  We are also assuming the the Sheriff's house is in this neighborhood; all we know about its location is that when Percy Grimm goes there it is somewhere north of the Square (454).</p>","","","","","","","","","White Neighborhood","Continuous","Town Street; Lower-class House","Site of Event","","","","",""
"Light in August","LA","481","Legion Commander's House","House","Speculation","","1 250","895","<p>Though it's not said specifically in the text, it seems likely that when Percy Grimm seeks out the commander of the local American Legion, they talk at the commander's house.</p>","","","","","","","","","Legion Commander's House","Continuous","Middle-class House","Site of Event","","","","",""
"Light in August","LA","480","Burden Graveyard","Cemetery","Context (text, as interpreted)","","1 025","781","<p>Joanna's family lies buried is a hidden graveyard ""on a cedar knoll in the pasture a half mile from the house"" (248).  Her father Nathaniel created it when he buried her half-brother and grandfather there in secret after they were killed by Colonel John Sartoris, to prevent the white men of Jefferson from disturbing their bodies.  When Joanna is four, Nathaniel takes her to this grove.  Although she didn't know ""what was in there,"" she doesn't want to enter it (252).  There, standing beside the graves of her grandfather, brother, and mother (as well as Juana, Nathaniel's first wife, for whom she is named), her father tells her that she cannot escape ""the white race's doom and curse for its sins"" (252).</p>","","","","","","","","","Burden Gravesite","Built","Cemetery","Site of Event","","","","",""
"Light in August","LA","485","Negro Cabin beside Corn Field","Cabin","Speculation","","915","1 195","<p>The dogs trace Joe's scent to ""a negro cabin"" beside a corn field, half a mile or so away from the cotton house (329).  But when the posse bursts inside, they find Joe's shoes on the ""negro woman"" who lives there with ""a negro child"" (329).</p>","","","","","","","","","Negro Cabin","Continuous","Negro-occupied Cabin","Site of Event","","","","",""
"Light in August","LA","479","Cotton House where Joe Christmas Rests","Other Structure","Speculation","","855","1 159","<p>A ""cotton house"" is a small outbuilding in a field, where picked cotton can be stored before it goes to the gin.  It is typically empty except during the fall cotton harvest.  Joe might have spent a night inside one during his flight; in any case it is ""right by"" the cotton house that he exchanges shoes a ""negro woman"" (329).</p>","","","","","","","","","Cotton House","Continuous","Cotton House","Site of Event","","","","",""
"Light in August","LA","218","Mottstown|Mottson","Event","Faulkner map","""Centaur in Brass"", ""Hand Upon the Waters"", ""Knight's Gambit"", ""That Will Be Fine"", ""The Unvanquished"", As I Lay Dying, Intruder in the Dust, The Sound and the Fury, The Unvanquished","1 300","1 640","<p>Spelled ""Mottson"" in several other fictions, Mottstown is ""twenty miles"" south of Jefferson (339), and the seat of the county next to Yoknapatawpha in that direction.  In <em>Light in August</em> it appears as both a physical place and as a kind of narrator.  In both these contexts it has a lot of similarities with Jefferson.  The physical place has a courthouse and a square, a cafe near the railroad station, even a black residential district called ""Niggertown,"" next to which the Hineses, Christmas' grandparents, have lived for 25 years (351).  And just as ""the town"" of Jefferson tells the story of Hightower's arrival and disgrace to Byron Bunch in Chapter 3, so in Chapter 15 the people of Mottstown and the surrounding countryside, speaking as a single voice inside quotation marks, narrates the capture of Christmas after his arrival there ""in broad daylight"" (349).  (The Mottstown train station has its own entry in the index.)</p>","","","","","","","","","Mottstown","Continuous","Town; Barbershop; Lower-class House; Negro District","Site of Event","","","","",""
"Light in August","LA","475","Road to Burden Place","Event","Faulkner map","","1 072","864","<p>Though seldom traveled in Faulkner's Yoknapatawpha fiction, the road on which the Burden place sits is the main road from Jefferson to the (unnamed) town that lies ""bout thirty miles"" to the west (227).  It is ""not a gravelled road"" - i.e. it is a dirt road - ""though it looks to be fairly well used"" (226).  Joe Christmas walks through the woods alongside it when he travels back and forth between town and the Burden place.  The ""countryman"" and his family are ""coming to town in a wagon"" on this road when they see the house on fire (90).</p>","","","","","","","","","Road to Burden Place","Continuous","Country Road","Site of Event","","","","",""
"The Sound and the Fury","SF","365","Compson Inset: Pasture|Golf Course","YoknapatawphaInset","Context (text, as interpreted)","""Appendix: Compson""","1 608","1 090","<p>When the Compson property was an ante bellum plantation it contained a square mile of land.  By the time the Compson children are born at the end of the nineteenth century, most of that land has been sold, but during their childhood there is still a pasture beside the house.  It is either a ""twenty acre pasture"" (35) or ""forty acres"" in area (174) - <em>The Sound and the Fury</em> is inconsistent on this point.  Quentin and Caddy do consistently call it ""Benjy's pasture,"" because going into it is apparently one of his main sources of pleasure as a child (174).  But by 1910 this land has been sold to pay for Quentin to go to Harvard, and by 1928 it has been turned into a golf course, on the other side of a fence Benjy is not allowed to cross.  During the novel Benjy spends a lot of time standing behind this fence, remembering the pasture or repeatedly watching the golfers, whose calls of ""here, caddie"" are a constant source of pain (3).  The ""Appendix"" that Faulkner wrote sixteen years later notes that by that time even the golf course is gone.</p>","","","","","","","","","Pasture/Golf Course","Destroyed and Rebuilt","Field; Sports Facility","Site of Event","","1325","894","",""
"The Sound and the Fury","SF","364","Compson Inset: Hole in Fence","YoknapatawphaInset","Context (text, as interpreted)","","1 704","1 150","<p>The garden fence"" between the Compson yard and the farm area has apparently had a hole in it for over a quarter of a century (4).  When Luster takes Benjy through this hole to look for the lost quarter, Benjy remembers getting snagged in the same place and presumably on the same nail twenty-five years earlier, while going off the place with Caddy to deliver a message from Uncle Maury to Mrs. Patterson.</p>","","","","","","","","","Hole in Fence","Continuous","Plantation Grounds","Site of Event","","1325","894","",""
"The Sound and the Fury","SF","367","Compson Inset: Back Yard","YoknapatawphaInset","Text (when unambiguous)","","1 685","1 198","<p>The back of the Compson property contains many of the features of the original plantation, such as the remains of an orchard that Benjy refers to as the ""thick trees"" (46) and the aristocratic lawn swing, and parts of a working farm, such as the barn and pig pen.  The ground immediately behind the house is described by the narrator as ""bare,"" ""as though from the soles of bare feet in generations"" (266).  Benjy seems to spend most of his time in - or confined to - this back area, especially along the fence that separates the property from the golf course.  And for the purposes of our map, the ""backyard"" also includes the cellar, where T.P. finds the champagne at Caddy's wedding and where Luster tries to make music from a saw on Easter morning.</p>","","","","","","","","","Back Yard","Continuous","Plantation Grounds","Site of Event","","1325","894","",""
"The Sound and the Fury","SF","385","Compson Inset: Gate","YoknapatawphaInset","Context (text, as interpreted)","","1 482","1 162","<p>The metal gate that separates the Compson house from the street that runs past it and into town has been kept locked since Benjy was a child so that he cannot ""escape.""  But he regularly goes down to the gate, first to wait for the young Caddy coming home from school (6), then, after she grows up and marries, to watch other school girls going past the house on their way home.  This gate is accidentally left unlocked one day when Benjy is about 17-years-old, allowing him to get into the street where he tries to talk to a young girl named Burgess.  She lives nearby, close enough for her father to respond to the sight of the hulking adolescent grabbing his daughter by attacking Benjy with a fence picket (263).  (One ambiguous physical detail in the novel involves the other ""gate"" on the Compson property: the one that Quentin mentions when he goes ""down the drive and out the gate"" to keep his appointment with Dalton Ames [159].  There's no mention of this elsewhere, though Jason's car and the Compson carriage leave the property several times.)</p>","","","","","","","","","Gate and Street","Continuous","Plantation Grounds","Site of Event","","1325","894","",""
"The Sound and the Fury","SF","366","Compson Inset: Patterson's House","YoknapatawphaInset","Context (text, as interpreted)","","1 900","1 092","<p>For at least some of the time the Compson children are growing up, their Uncle Maury is having an affair of some kind with Mrs. Patterson, the married woman who lives next door.  The first memory that appears in Benjy's section is of him and Caddie carrying a note from their uncle to her just before Christmas, 1903; they cross the frozen ""branch"" (or creek) and walk through ""the brown, rattling flowers"" in the Pattersons' garden that lies alongside their house.  Later Maury sends Benjy with notes by himself; on the occasion Benjy recalls doing that, it is not winter and Mr. Patterson is working in the garden (""chopping in the green flowers,"" 13).  He sees the note and scares Benjy by the way he grabs it before his wife can get it.</p>","","","","","","","","","Patterson's House and Garden","Continuous","Middle-class House","Site of Event","","1325","894","",""
"The Sound and the Fury","SF","379","Compson Inset: Barn","YoknapatawphaInset","Context (text, as interpreted)","","1 760","1 184","<p>During the years covered by the Benjy's and Quentin's memories, the barn at the back of the Compson place contains a number of horses and cows, with a pen next to it for the family's pigs.  By the time Benjy passes it in 1928, the ""stalls are all open"" and the ""roof is falling"" apart (12), though the aged horse Queenie is still there someplace.  It is in ""the high sweet emptiness of the barn"" that the adolescent Quentin has his first and perhaps only sexual encounter, with Natalie, and into the pigpen - or as he calls it, ""the hogwallow"" - that he leaps to cover himself with muck after Caddy interrupts them (134, 136).</p>","","","","","","","","","Barn and Pigpen","Continuous","Barn; Livestock Lot","Site of Event","","1325","894","",""
"The Sound and the Fury","SF","378","Compson Inset: Pear Tree","YoknapatawphaInset","Context (text, as interpreted)","","1 588","1 164","<p>This is the tree that Benjy refers to as ""the flower tree"" (3).  Faulkner himself referred to it often as the scene of the image with which the novel took hold of his imagination: as he told an audience at the University of Virginia, for example, <em>The Sound and the Fury</em> ""began with the - the picture of the - the little girl's muddy drawers, climbing that tree to look in the parlor window with her brothers that didn't have the courage to climb the tree waiting to see what she saw.""  Benjy remembers watching Caddy climb up ""that tree"" in 1898 and ends his day in 1927 watching Caddy's daughter climb down it for the last time (39, 74).  In the novel's fourth section the narrator describes it as a ""pear tree"" growing ""close against the house""; in April it is ""in bloom,"" and the breeze carries ""the forlorn scent of the blossoms"" through the open window of Miss Quentin's room and into the house (282).</p>","","","","","","","","","Pear Tree","Continuous","Plantation Grounds","Site of Event","","1325","894","",""
"The Sound and the Fury","SF","474","Bridge over Creek near Jefferson","Event","Text (when unambiguous)","Requiem for a Nun","1 408","805","<p>When Quentin Compson confronts Dalton Ames in town, at Ames' suggestion they agree to meet later at ""that bridge over the creek in there back of"" - at that point Quentin interrupts him, so we can't be sure what place he was going to mention (158).  When they do meet, the bridge is ""in the woods"" (159).</p>","","","","","","","","","Bridge over Creek","Continuous","Bridge; Branch","Site of Event","","","","",""
"""Wash""","W","461","Cabin of Sutpen's Nearest Neighbor","Cabin","Context (text, as interpreted)","","948","377","<p>Sutpen's ""nearest neighbor,"" from whom Wash has to borrow a wagon whenever Sutpen himself is too drunk to walk back to his plantation house from his store, lives a mile away (540).  This suggests that this northwestern part of Yoknapatawpha is still sparsely populated after the Civil War.</p>","","","","","","","","","Neighbor's Cabin","Continuous","White-occupied Cabin","Site of Event","","","","",""
"""Wash""","W","462","Midwife|Dicey's Cabin","Cabin","Context (text, as interpreted)","Absalom, Absalom!","962","202","<p>Dicey, the ""old Negro"" midwife who deliver's Milly's baby, lives three miles from the fishing camp where the birth takes place (535).</p>","","","","","","","","","Dicey's Cabin","Continuous","Negro-occupied Cabin","Only Mentioned in Text","","","","",""
"""Red Leaves""","RL","135","Swamp by Tallahatchie River","Event","Context (text, as interpreted)","""Pantaloon in Black"", Absalom, Absalom!, Go Down, Moses","1 525","170","<p>While all the land along the river is swampy, this is the place which the narrative refers to as ""the swamp"" (333).  It is where ""the Negro"" takes refuge, and probably where he is bitten by a ""cottonmouth moccasin"" (338).  It is small enough for the Indians to ""form a circle"" around it, and that is how they finally capture him (337).  It's interesting to think about how close in Faulkner's imagination this location is to the ""cave under the river back"" in <em>Absalom!</em> that is  ""thirteen miles from Sutpen's camp"" where the pursuers finally overtake that other antebellum fugitive, the French architect (197).  We can only speculate, but if the architect runs west, the two places are probably close.</p>","","","","","","","","","Swamp","Continuous","Swamp|Slough","Site of Event","","","","",""
"The Sound and the Fury","SF","455","The Delta","OutOfYoknapatawpha","Text (when unambiguous)","","2 285","368","<p>The Delta, also called the Mississippi Delta, is a region in northwest Mississippi between the Mississippi and Yazoo Rivers. Its economy has traditionally been dominated by cotton farming. Jason Compson mentions it because he thinks it may be flooded soon, ruining the cotton crops.</p>","","","","","","","","","The Delta","Continuous","Field","Only Mentioned in Text","","","","",""
"The Sound and the Fury","SF","454","Nicarauga","OutOfYoknapatawpha","Text (when unambiguous)","","2 301","1 356","<p>Nicaragua (spelled ""Nicarauga"" to represent Jason Compson's speech in <em>The Sound and the Fury</em>) is a country in Central America bordered by Honduras and Costa Rica. Jason mentions it because he is mad that the United States government maintains a military presence there.</p>","","","","","","","","","Nicarauga","Continuous","Foreign Country","Only Mentioned in Text","","","","",""
"The Sound and the Fury","SF","215","Washington D.C.","OutOfYoknapatawpha","Text (when unambiguous)","""A Name for the City"", ""Appendix: Compson"", ""By the People"", ""Knight's Gambit"", ""Retreat"", ""Skirmish at Sartoris"", ""There Was a Queen"", ""Two Soldiers"", Light in August, Requiem for a Nun, The Town, The Unvanquished","2 507","890","<p>Jason rails against the Federal Government in Washington, D.C. for ""spending fifty thousand dollars a day keeping an army in Nicarauga or some place"" (234).</p>","","","","","","","","","Washington","Continuous","City","Only Mentioned in Text","","","","",""
"The Sound and the Fury","SF","073","Jefferson Drugstore","Office/store","Context (text, as interpreted)","""A Rose for Emily"", ""Dry September"", ""Elly"", ""Hair"", ""Shall Not Perish"", ""Smoke"", As I Lay Dying, Flags in the Dust, Go Down, Moses, Requiem for a Nun, Sanctuary, The Mansion, The Town","1 250","780","<p>The drugstore in Jefferson contains a soda fountain where  Jason goes several times, to talk with others about money and baseball, and to get a ""dope"" (191) and a ""shot"" (243) or a ""headache shot"" (251).  In all three cases he is referred to  a glass of Coca-Cola.  (And in the first published text of the novel ""coca-cola"" replaced the manuscript's terms in the first and second instances.)</p>","","","","","","","","","Drugstore","Continuous","Drugstore","Site of Event","","","","",""
"The Sound and the Fury","SF","453","Jefferson Methodist Church","Church","Speculation","Absalom, Absalom!","1 218","788","<p>The Methodist Church in Jefferson. Jason notes that the ""sun was down beyond the Methodist church now, and the pigeons were flying back and forth around the steeple, and when the band stopped I could hear them cooing"" (247).</p>","","","","","","","","","Methodist Church","Continuous","Church","Only Mentioned in Text","","","","",""
